date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2005-04-01,0,0,False,0.0,0.0
2005-04-02,0,0,False,0.0,0.0
2005-04-03,0,0,False,0.0,0.0
2005-04-04,100,100,False,1.0,100.0
2005-04-05,0,0,False,0.0,0.0
2005-04-06,0,0,False,0.0,0.0
2005-04-07,11,11,False,0.11,1.21
2005-04-08,0,0,False,0.0,0.0
2005-04-09,0,0,False,0.0,0.0
2005-04-10,14,14,False,0.14,1.9600000000000002
2005-04-11,0,0,False,0.0,0.0
2005-04-12,8,8,False,0.08,0.64
2005-04-13,0,0,False,0.0,0.0
2005-04-14,0,0,False,0.0,0.0
2005-04-15,0,0,False,0.0,0.0
2005-04-16,0,0,False,0.0,0.0
2005-04-17,0,0,False,0.0,0.0
2005-04-18,0,0,False,0.0,0.0
2005-04-19,0,0,False,0.0,0.0
2005-04-20,0,0,False,0.0,0.0
2005-04-21,0,0,False,0.0,0.0
2005-04-22,10,10,False,0.1,1.0
2005-04-23,0,0,False,0.0,0.0
2005-04-24,51,51,False,0.51,26.01
2005-04-25,0,0,False,0.0,0.0
2005-04-26,0,0,False,0.0,0.0
2005-04-27,0,0,False,0.0,0.0
2005-04-28,0,0,False,0.0,0.0
2005-04-29,0,0,False,0.0,0.0
2005-04-30,0,0,False,0.0,0.0
