date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2022-11-01,0,0,False,0.0,0.0
2022-11-02,0,0,False,0.0,0.0
2022-11-03,0,0,False,0.0,0.0
2022-11-04,0,0,False,0.0,0.0
2022-11-05,0,0,False,0.0,0.0
2022-11-06,0,0,False,0.0,0.0
2022-11-07,0,0,False,0.0,0.0
2022-11-08,0,0,False,0.0,0.0
2022-11-09,0,0,False,0.0,0.0
2022-11-10,0,0,False,0.0,0.0
2022-11-11,0,0,False,0.0,0.0
2022-11-12,0,0,False,0.0,0.0
2022-11-13,0,0,False,0.0,0.0
2022-11-14,65,65,False,0.65,42.25
2022-11-15,0,0,False,0.0,0.0
2022-11-16,0,0,False,0.0,0.0
2022-11-17,0,0,False,0.0,0.0
2022-11-18,0,0,False,0.0,0.0
2022-11-19,0,0,False,0.0,0.0
2022-11-20,83,83,False,0.83,68.89
2022-11-21,0,0,False,0.0,0.0
2022-11-22,0,0,False,0.0,0.0
2022-11-23,100,100,False,1.0,100.0
2022-11-24,0,0,False,0.0,0.0
2022-11-25,89,89,False,0.89,79.21000000000001
2022-11-26,0,0,False,0.0,0.0
2022-11-27,0,0,False,0.0,0.0
2022-11-28,0,0,False,0.0,0.0
2022-11-29,0,0,False,0.0,0.0
2022-11-30,0,0,False,0.0,0.0
